Category,#,Feature,Sub-Feature,Description,Decagon,Sierra
Scalability & Resilience,8.4,Distributed State,Distributed Locks,"Redis SET NX PX for execution locks, Lua scripts for atomic operations",,
Scalability & Resilience,8.5,Distributed State,Content-Addressed Caching,IR cache with hash-based keys so any pod builds same cache entry,,
Scalability & Resilience,8.6,Resilience,Circuit Breakers,"Three-state pattern (closed/open/half-open) per tool, per LLM provider, per KMS",,
Scalability & Resilience,8.7,Resilience,Rate Limiting,Hybrid local token bucket + Redis sliding window with per-tenant config,,
Scalability & Resilience,8.8,Resilience,LLM Request Queue,Semaphore-based concurrency control with per-model limits and backpressure,,
Scalability & Resilience,8.9,Resilience,Retry with Backoff,Configurable retry count and delay for tool calls and LLM requests,,
Scalability & Resilience,8.10,Resilience,Fallback Models,Automatic fallback to secondary LLM model on primary failure,,
Scalability & Resilience,8.11,Persistence,Dual-Write Architecture,MongoDB for metadata + ClickHouse for high-volume operational data,,
Scalability & Resilience,8.12,Persistence,Batched Writes,Message persistence queue with flush-on-threshold and time-based batching,,
Scalability & Resilience,8.13,Persistence,Connection Pooling,Pooled database and HTTP connections with keep-alive,,
Scalability & Resilience,8.14,Caching,Two-Tier IR Cache,Memory + Redis with TTL-based expiration and async warming,,
Scalability & Resilience,8.15,Caching,NLU Result Cache,Cache repeated NLU predictions to avoid redundant LLM calls,,
Scalability & Resilience,8.16,Caching,LLM Provider Cache,Share provider instances across sessions,,
Scalability & Resilience,8.17,State Checkpointing,Session Checkpoints,Full agent state serialization with parent/child branching support,,
Scalability & Resilience,8.18,State Checkpointing,Checkpoint Encryption,Pluggable encryptor for at-rest checkpoint protection,,
Scalability & Resilience,8.19,Performance,Conversation Windowing,Sliding window message cap (maxMessages) to bound LLM context size,,
Scalability & Resilience,8.20,Performance,Payload Size Validation,Check input size before compression/decompression/JSON parsing,,
Scalability & Resilience,8.21,Performance,Async Compression,gzip via promisify - never sync in request handlers,,
Governance & Control,9.1,Agent Versioning,Version Lifecycle,"Draft -> testing -> staged -> active -> deprecated -> archived",,
Governance & Control,9.2,Agent Versioning,Version Promotion,Explicit promotion workflow with who-promoted tracking,,
Governance & Control,9.3,Agent Versioning,Source Hash,Content-addressed change detection for agent definitions,,
Governance & Control,9.4,Agent Versioning,Changelog,Per-version change tracking,,
Governance & Control,9.5,Deployment Management,Environment Separation,"Dev, staging, production environments with independent config",,
Governance & Control,9.6,Deployment Management,Environment Variables,Per-environment variable configuration with copy between envs,,
Governance & Control,9.7,Deployment Management,Version Pinning,Pin deployments to specific agent versions,,
Governance & Control,9.8,Configuration,Centralized Config,18+ configuration schemas covering all infrastructure aspects,,
Governance & Control,9.9,Configuration,Config Validation,Schema-based validation with production safety checks,,
Governance & Control,9.10,Configuration,Config Diffing,Visual diff between configuration versions and environments,,
Governance & Control,9.11,Audit Trail,Comprehensive Audit Events,"Agent lifecycle, tool execution, deployment, session, coordination, security events",,
Governance & Control,9.12,Audit Trail,Actor Tracking,"Every audit event includes actor identity, timestamp, and action",,
Governance & Control,9.13,Audit Trail,Audit Export,Export audit logs for compliance review,,
Governance & Control,9.14,Access Control,Per-Endpoint Permissions,Every API endpoint has explicit permission requirements,,
Governance & Control,9.15,Access Control,SDK Key Management,"Create, revoke, and scope SDK API keys per project",,
Governance & Control,9.16,Project Management,Import/Export,"Export and import projects with agents, config, and data",,
Governance & Control,9.17,Project Management,Git Integration,GitHub/GitLab integration for version-controlled agent definitions,,
Governance & Control,9.18,Project Management,Project Locking,Lock projects during editing to prevent concurrent modifications,,
Control vs Autonomy,10.1,Dual Mode,Reasoning (Autonomous),"LLM-driven with tool selection, multi-turn reasoning, and self-directed problem solving",,
Control vs Autonomy,10.2,Dual Mode,Scripted (Controlled),Deterministic state machine with explicit step transitions and no LLM decision-making on flow,,
Control vs Autonomy,10.3,Guardrails,Pre-Turn Guardrails,Check input/output before every agent turn with block/warn/redact/escalate,,
Control vs Autonomy,10.4,Guardrails,Phase-Based Constraints,Named constraint phases checked at specific business logic points,,
Control vs Autonomy,10.5,Guardrails,Priority Ordering,"Lower priority number = higher priority, evaluated in order",,
Control vs Autonomy,10.6,Iteration Limits,Reasoning Loop Cap,max_reasoning_iterations prevents runaway LLM loops,,
Control vs Autonomy,10.7,Iteration Limits,Flow Loop Cap,max_flow_iterations prevents infinite scripted loops,,
Control vs Autonomy,10.8,Iteration Limits,Consecutive Empty Detection,Safety guard against LLM producing empty responses repeatedly,,
Control vs Autonomy,10.9,Tool Control,Tool Hints,"cacheable, latency, side_effects, requires_auth per tool",,
Control vs Autonomy,10.10,Tool Control,Tool Timeout,Per-tool timeout override for long-running operations,,
Control vs Autonomy,10.11,Tool Control,Parallel Tool Calls,Enable/disable parallel tool execution per agent,,
Control vs Autonomy,10.12,Model Control,Per-Operation Models,"Different models for extraction, validation, tool_selection, response_gen, reasoning",,
Control vs Autonomy,10.13,Model Control,Temperature Control,Per-agent temperature and max_tokens configuration,,
Control vs Autonomy,10.14,Model Control,Fallback Models,Automatic degradation to fallback model on failure,,
Control vs Autonomy,10.15,Completion Control,Declarative Completion,COMPLETE WHEN conditions checked automatically each turn,,
Control vs Autonomy,10.16,Completion Control,Explicit Handoff Conditions,HANDOFF WHEN conditions for controlled agent switching,,
Control vs Autonomy,10.17,Custom System Prompt,SYSTEM_PROMPT Template,Override default system prompt with custom template and dynamic sections,,
LLM Integration,11.1,Providers,Anthropic,Claude models with prompt caching support,,
LLM Integration,11.2,Providers,OpenAI,GPT models with structured output and function calling,,
LLM Integration,11.3,Providers,Azure OpenAI,Azure-hosted OpenAI models,,
LLM Integration,11.4,Providers,Google Gemini,Gemini models including Gemini Live for voice,,
LLM Integration,11.5,Providers,AWS Bedrock,Bedrock-hosted models,,
LLM Integration,11.6,Providers,Vertex AI,Google Cloud Vertex AI models,,
LLM Integration,11.7,Providers,LiteLLM,Universal proxy for 100+ LLM providers,,
LLM Integration,11.8,Providers,Custom,Pluggable custom provider implementations,,
LLM Integration,11.9,Capabilities,Streaming,Streaming text completion with onChunk callbacks,,
LLM Integration,11.10,Capabilities,Tool/Function Calling,Native function calling with typed parameters,,
LLM Integration,11.11,Capabilities,Structured Output,JSON mode for reliable structured extraction,,
LLM Integration,11.12,Capabilities,Vision/Image,Image input support (provider-dependent),,
LLM Integration,11.13,Capabilities,Prompt Caching,Anthropic prompt caching for cost reduction,,
LLM Integration,11.14,Model Resolution,Multi-Level Resolution,Agent IR -> Agent DB -> Project DB -> Tenant DB -> Environment fallback chain,,
LLM Integration,11.15,Model Resolution,Operation-Type Models,"Different models per operation (extraction, reasoning, response)",,
LLM Integration,11.16,Model Registry,Capability Catalog,"Per-model capabilities, pricing, rate limits, performance metrics",,
LLM Integration,11.17,Model Registry,Intelligent Routing,"Cost-based, latency-based, and capability-based model selection",,
LLM Integration,11.18,Model Registry,Tenant Overrides,Per-tenant model configuration and restrictions,,
NLU (Natural Language Understanding),12.1,Core Tasks,Intent Detection,Primary intent classification with confidence scoring,,
NLU (Natural Language Understanding),12.2,Core Tasks,Sub-Intent Detection,Step-scoped intent classification within flow steps,,
NLU (Natural Language Understanding),12.3,Core Tasks,Category Classification,Multi-category topic classification,,
NLU (Natural Language Understanding),12.4,Core Tasks,Entity Extraction,"Named entity extraction: enum, pattern, location, date, number, free_text",,
NLU (Natural Language Understanding),12.5,Core Tasks,Correction Detection,Natural corrections (actually 4 not 3) with field update,,
NLU (Natural Language Understanding),12.6,Core Tasks,Digression Detection,Off-topic escape detection with intent matching,,
NLU (Natural Language Understanding),12.7,Core Tasks,Language Detection,Single language and code-switched language detection,,
NLU (Natural Language Understanding),12.8,Model Layers,Fast Layer,Lightweight models for quick classification,,
NLU (Natural Language Understanding),12.9,Model Layers,Balanced Layer,Moderate latency/accuracy tradeoff,,
NLU (Natural Language Understanding),12.10,Model Layers,Embedding Layer,Semantic similarity via vector embeddings,,
NLU (Natural Language Understanding),12.11,Model Layers,Fallback Layer,Regex/pattern-based degradation when LLM unavailable,,
NLU (Natural Language Understanding),12.12,Embeddings,Intent Embedding Index,Semantic matching for intents via embeddings,,
NLU (Natural Language Understanding),12.13,Embeddings,Entity Embedding Index,Open-ended entity extraction via embeddings,,
NLU (Natural Language Understanding),12.14,Multilingual,Multi-Language Support,Configurable languages list with default language,,
NLU (Natural Language Understanding),12.15,Multilingual,Code-Switching,Handle mixed-language input within conversation,,
NLU (Natural Language Understanding),12.16,Multilingual,Language-Specific Models,Per-language model mapping,,
NLU (Natural Language Understanding),12.17,Enterprise NLU,Tenant Isolation,Tenant-scoped NLU configuration and metrics,,
NLU (Natural Language Understanding),12.18,Enterprise NLU,NLU Caching,Cache repeated predictions to reduce LLM cost,,
NLU (Natural Language Understanding),12.19,Enterprise NLU,Circuit Breaker,Protect against failing NLU models,,
NLU (Natural Language Understanding),12.20,Enterprise NLU,A/B Testing,Compare NLU model performance,,
NLU (Natural Language Understanding),12.21,Enterprise NLU,PII Guard,Redact sensitive data from NLU predictions,,
NLU (Natural Language Understanding),12.22,Enterprise NLU,Prediction Audit Logging,Log all NLU predictions for compliance,,
NLU (Natural Language Understanding),12.23,Plugin System,Pre/Post Process Hooks,Custom plugins to short-circuit or transform NLU results,,
Search AI / RAG,13.1,Search Capabilities,Vector Search,Semantic similarity search with configurable topK and similarity threshold,,
Search AI / RAG,13.2,Search Capabilities,Hybrid Search,Combined vector + keyword/BM25 search with Reciprocal Rank Fusion weighting,,
Search AI / RAG,13.3,Search Capabilities,Structured Search,Metadata filter-based queries with sorting and pagination,,
Search AI / RAG,13.4,Search Capabilities,Aggregation Queries,"Aggregation operations (sum, avg, count, count_distinct, min, max) with grouping and having clauses",,
Search AI / RAG,13.5,Search Capabilities,Autocomplete Suggestions,Prefix-based autocomplete suggestions from indexed content,,
Search AI / RAG,13.6,Search Capabilities,Find Similar Documents,Discover documents semantically similar to a given document,,
Search AI / RAG,13.7,Search Capabilities,Vocabulary-Aware Query Resolution,Resolve business terms and aliases to structured filters and field references before search,,
Search AI / RAG,13.8,Search Capabilities,Reranking,"Optional reranker integration (Cohere, cross-encoder) for result refinement after retrieval",,
Search AI / RAG,13.9,Knowledge Base Management,Create & Manage KBs,"CRUD operations for knowledge bases with embedding model, chunking, and search defaults",,
Search AI / RAG,13.10,Knowledge Base Management,Index Status Lifecycle,"Index states: creating, active, indexing, error, disabled with rebuild support",,
Search AI / RAG,13.11,Knowledge Base Management,Full Rebuild / Reindex,Rebuild all document embeddings and reindex from source with progress tracking,,
Search AI / RAG,13.12,Document Ingestion,Single & Batch Ingest,Ingest individual documents or bulk JSON import with title/content/metadata,,
Search AI / RAG,13.13,Document Ingestion,Ingestion Pipeline,"Multi-stage pipeline: ingest → extract → canonical_map → chunk → enrich → embed with per-stage tracking",,
Search AI / RAG,13.14,Document Ingestion,Progress Tracking,"Real-time ingestion status: document counts, chunk counts, token counts, estimated cost, ETA",,
Search AI / RAG,13.15,Document Ingestion,Error Handling & Retry,Per-document error tracking with retry capabilities and status badges,,
Search AI / RAG,13.16,Chunking Strategies,Fixed-Size Chunking,Fixed token/character window chunking with configurable size and overlap,,
Search AI / RAG,13.17,Chunking Strategies,Semantic Chunking,Content-aware chunking that preserves semantic boundaries,,
Search AI / RAG,13.18,Chunking Strategies,Sliding Window Chunking,Overlapping window strategy for continuous context preservation,,
Search AI / RAG,13.19,Chunking Strategies,ATLAS-KG Architecture,Knowledge graph-based chunking strategy for maximum retrieval quality (designed),,
Search AI / RAG,13.20,Source Connectors,File Upload,"PDF, DOCX, TXT file upload with extraction",,
Search AI / RAG,13.21,Source Connectors,Web Crawl,URL-based web crawling with content extraction,,
Search AI / RAG,13.22,Source Connectors,Database,Direct database collection/table connectors,,
Search AI / RAG,13.23,Source Connectors,API Endpoint,REST API connector with auth (none/bearer/API key/basic) and HTTP method config,,
Search AI / RAG,13.24,Source Connectors,Jira,Jira issue and project content ingestion,,
Search AI / RAG,13.25,Source Connectors,Salesforce,Salesforce object and record ingestion,,
Search AI / RAG,13.26,Source Connectors,HubSpot,HubSpot CRM content ingestion,,
Search AI / RAG,13.27,Source Connectors,Confluence,Confluence page and space ingestion,,
Search AI / RAG,13.28,Source Connectors,Notion,Notion page and database ingestion,,
Search AI / RAG,13.29,Source Connectors,Google Drive,Google Drive file and folder ingestion,,
Search AI / RAG,13.30,Source Connectors,SharePoint,SharePoint document library ingestion,,
Search AI / RAG,13.31,Source Connectors,S3,AWS S3 bucket and prefix ingestion,,
Search AI / RAG,13.32,Source Connectors,Custom,Custom connector framework with configurable extraction and sync,,
Search AI / RAG,13.33,Source Connectors,Sync Scheduling,Cron-based sync schedules with max documents per sync,,
Search AI / RAG,13.34,Schema Management,Source Schema Discovery,Auto-discover fields from source connectors with types and sample values,,
Search AI / RAG,13.35,Schema Management,Canonical Schema Definition,"Normalized field schema with indexed/filterable/aggregatable flags and type selection (string, number, boolean, date, text, array)",,
Search AI / RAG,13.36,Schema Management,Schema Change Detection,"Detect field additions, removals, type changes, and enum value changes across syncs",,
Search AI / RAG,13.37,Field Mapping,AI-Suggested Mappings,LLM-generated source→canonical field mappings with confidence scores,,
Search AI / RAG,13.38,Field Mapping,Mapping Transforms,"8+ transform types: direct, enum remap, regex/JSONPath extraction, field coalescing, computed, date formatting, lowercase, array splitting",,
Search AI / RAG,13.39,Field Mapping,Confirm/Reject Workflow,Review and accept or reject AI-suggested mappings with reviewer tracking,,
Search AI / RAG,13.40,Field Mapping,Test Mapping,Test field transformations against sample documents before confirming,,
Search AI / RAG,13.41,Vocabulary,Domain Vocabulary Entries,"Business terms with primary name, aliases, description, and resolution rules",,
Search AI / RAG,13.42,Vocabulary,Resolution Types,"4 resolution types: field (map to canonical), filter (predefined conditions), aggregate (measures/dimensions), composite (multiple resolutions)",,
Search AI / RAG,13.43,Vocabulary,AI Vocabulary Suggestions,Generate vocabulary suggestions from indexed document content,,
Search AI / RAG,13.44,Vocabulary,Vocabulary Query Testing,"Test vocabulary resolution against queries with match types (exact, alias, fuzzy) and confidence",,
Search AI / RAG,13.45,Vocabulary,Bulk Import,Bulk import vocabulary entries from JSON,,
Search AI / RAG,13.46,Vector Storage,Qdrant Integration,HTTP API implementation for Qdrant vector database with payload indexing,,
Search AI / RAG,13.47,Vector Storage,Multi-Backend Support,"Pluggable vector store interface supporting Qdrant, Pinecone, pgvector",,
Search AI / RAG,13.48,Vector Storage,Distance Metrics,"Configurable distance metrics: cosine, euclidean, dot product",,
Search AI / RAG,13.49,Vector Storage,Metadata Indexing,"Index metadata alongside vectors for filtered search (keyword, integer, float, bool types)",,
Search AI / RAG,13.50,Embedding Generation,OpenAI Embeddings,"text-embedding-3-small (1536d), text-embedding-3-large (3072d), ada-002 with batch processing",,
Search AI / RAG,13.51,Embedding Generation,Pluggable Providers,Extensible embedding provider interface with factory pattern (OpenAI live; Cohere framework ready),,
Search AI / RAG,13.52,Embedding Generation,Token Counting & Cost,Token estimation and embedding cost calculation per ingestion batch,,
Search AI / RAG,13.53,Content Enrichment,Entity Extraction,Automatic entity extraction from ingested documents,,
Search AI / RAG,13.54,Content Enrichment,Summarization,Document summarization during ingestion pipeline,,
Search AI / RAG,13.55,Content Enrichment,Language Detection,Automatic language detection for multilingual content,,
Search AI / RAG,13.56,Content Enrichment,Custom Pipelines,Configurable custom enrichment pipelines per source,,
Search AI / RAG,13.57,Query Analytics,Latency Breakdown,"Per-query latency breakdown: vocabulary resolve, vector search, filter, rerank (ms per component)",,
Search AI / RAG,13.58,Query Analytics,Vocabulary Resolution Trace,"Debug mode showing resolved terms, unresolved segments, applied filters, and confidence scores",,
Search AI / RAG,13.59,Query Analytics,Source Attribution,Per-result source tracking with source name and URL reference,,
Search AI / RAG,13.60,Agent Integration,5 Native Search Tools,"search_vector, search_structured, search_aggregate, search_hybrid, vocabulary_resolve as agent-callable tools",,
Search AI / RAG,13.61,Agent Integration,Dynamic Tool Availability,Search tools automatically available based on agent DSL configuration,,
Search AI / RAG,13.62,Agent Integration,Tenant-Scoped KB Access,Knowledge base access scoped by tenant with caller context propagation,,
Search AI / RAG,13.63,Studio UI,KB Dashboard,"Knowledge base list with status badges, stats cards (total/active/indexing), search/sort/filter",,
Search AI / RAG,13.64,Studio UI,Document Management,Document list with status visualization and single/bulk ingestion interface,,
Search AI / RAG,13.65,Studio UI,Connector Configuration Wizard,Two-step dialog: connector type selection → auth and sync configuration,,
Search AI / RAG,13.66,Studio UI,Schema Editor,Canonical field editor with indexed/filterable/aggregatable toggles and type selection,,
Search AI / RAG,13.67,Studio UI,Field Mapping Review,AI-suggested mapping review UI with confidence scores and confirm/reject actions,,
Search AI / RAG,13.68,Studio UI,Vocabulary Editor,Vocabulary entry management with alias support and bulk JSON import,,
Search AI / RAG,13.69,Studio UI,Interactive Query Playground,"Query testing with type selector (vector/hybrid/structured), topK adjustment, debug mode, and results table",,
Search AI / RAG,13.70,Studio UI,Latency Breakdown Visualization,Bar chart visualization of per-component query latency,,
Search AI / RAG,13.71,Research / Design,HyDE Query Optimization,Hypothetical Document Embeddings for improved query representation (designed),,
Search AI / RAG,13.72,Research / Design,RAPTOR Retrieval,Recursive Abstractive Processing for Tree-Organized Retrieval (researched),,
Search AI / RAG,13.73,Research / Design,Late Chunking,Late chunking vs early chunking trade-off analysis (researched),,
Studio (Development Experience),14.1,Agent Management,Agent List,Browse agents grouped by domain,,
Studio (Development Experience),14.2,Agent Management,Agent Detail,"View/edit config, versions, deployment status",,
Studio (Development Experience),14.3,Agent Management,Version Comparison,Side-by-side version history and diff,,
Studio (Development Experience),14.4,Agent Management,Version Promotion,Promote versions through lifecycle stages,,
Studio (Development Experience),14.5,Testing,Chat Panel,Interactive chat with agents in Studio,,
Studio (Development Experience),14.6,Testing,Chat with Debug,Side-by-side chat + debug panel,,
Studio (Development Experience),14.7,Testing,Test Context Panel,"Configure caller context, variables, gather fields, tool mocks",,
Studio (Development Experience),14.8,Testing,Tool Mock Editor,Mock tool responses for deterministic testing,,
Studio (Development Experience),14.9,Testing,Preview Widget,Web chat widget preview with embed code,,
Studio (Development Experience),14.10,Testing,LiveKit Preview,Voice/video preview with LiveKit,,
Studio (Development Experience),14.11,Project Management,Project Dashboard,Overview with quick stats,,
Studio (Development Experience),14.12,Project Management,Project Switcher,Switch between projects,,
Studio (Development Experience),14.13,Project Management,Import/Export,Backup and restore projects,,
Studio (Development Experience),14.14,Deployment,Deployment Page,View all environments and channels,,
Studio (Development Experience),14.15,Deployment,Channel Management,"Configure web, voice, SMS, WhatsApp channels per deployment",,
Studio (Development Experience),14.16,Deployment,Environment Variables,Per-environment config with copy between envs,,
Studio (Development Experience),14.17,Deployment,Embed Code Generator,Generate embed code snippets for web integration,,
Studio (Development Experience),14.18,Visualization,Topology Canvas,Visual agent topology/architecture diagram,,
Studio (Development Experience),14.19,Visualization,State Machine View,Finite state machine visualizer for scripted flows,,
Studio (Development Experience),14.20,Navigation,Command Palette,Quick search and navigation across Studio,,
Studio (Development Experience),14.21,UI System,Design Token System,"HSL-based semantic colors, spacing, shadows, animations via CSS variables",,
Studio (Development Experience),14.22,UI System,Theme Support,"Light, dark, and system theme modes",,
Studio (Development Experience),14.23,UI System,25+ Base Components,"Button, Input, Card, Badge, Dialog, DataTable, JsonViewer, DiffViewer, etc.",,
Analytics & Metrics,15.1,LLM Metrics,Token Counting,"Input, output, and cached token tracking per call",,
Analytics & Metrics,15.2,LLM Metrics,Cost Estimation,Per-call cost calculation based on model pricing,,
Analytics & Metrics,15.3,LLM Metrics,Latency Tracking,Duration (ms) recorded for every LLM call,,
Analytics & Metrics,15.4,LLM Metrics,Provider Breakdown,Metrics segmented by provider and model,,
Analytics & Metrics,15.5,Tool Metrics,Execution Duration,Duration recorded for every tool call,,
Analytics & Metrics,15.6,Tool Metrics,Success/Failure Rates,Tool call outcome tracking,,
Analytics & Metrics,15.7,Session Metrics,Active Sessions,Real-time gauge of currently active sessions,,
Analytics & Metrics,15.8,Session Metrics,Session Disposition,"Completed, abandoned, transferred, failed, timeout tracking",,
Analytics & Metrics,15.9,Session Metrics,Billing Info,Per-session token count and cost estimation,,
Analytics & Metrics,15.10,NLU Metrics,Prediction Events,"Task, model, confidence, latency per NLU prediction",,
Analytics & Metrics,15.11,NLU Metrics,Fallback Rate,Track how often NLU falls back to degraded methods,,
Analytics & Metrics,15.12,NLU Metrics,Correction Rate,Track natural correction frequency,,
Analytics & Metrics,15.13,Storage,ClickHouse Metrics Store,Time-series metrics storage with monthly partitions,,
Analytics & Metrics,15.14,Storage,MongoDB Metrics Store,Operational metrics persistence,,
Analytics & Metrics,15.15,Traces Page,Trace Event Browser,Browse and filter trace events in Studio,,
Analytics & Metrics,15.16,Session Analysis,Session Analysis Panel,Session-level metrics and analysis in Studio,,
Future Readiness,16.1,IR-First Architecture,Framework Agnostic,AgentIR is the single compilation target - runtime executors are pluggable,,
Future Readiness,16.2,IR-First Architecture,Static Graph Export,"Compiled flow graph (nodes, edges) for visualization and analysis tools",,
Future Readiness,16.3,Modular Runtimes,Voice Runtime Profile,Dedicated voice-optimized runtime with latency targets,,
Future Readiness,16.4,Modular Runtimes,Digital Runtime Profile,Web/chat runtime with rich content and checkpointing,,
Future Readiness,16.5,Modular Runtimes,Workflow Runtime Profile,Long-running process orchestration with HITL and SLA tracking,,
Future Readiness,16.6,Extensible NLU,Plugin Pipeline,Pre/post-process hooks for custom NLU logic,,
Future Readiness,16.7,Extensible NLU,Custom Embedding Providers,Pluggable embedding provider interface,,
Future Readiness,16.8,Extensible Tools,MCP Protocol,Model Context Protocol for standardized tool/resource/prompt discovery,,
Future Readiness,16.9,Extensible Tools,Tool Middleware,"Composable middleware chain (logging, timing, audit) for tool execution",,
Future Readiness,16.10,Proposed Extensions,12 New DSL Constructs,"ENV, CONNECTIONS, SERVICE, MAP, PIPES, VALIDATE, TEMPLATE, EVENTS, SWITCH, COUNTER, WAIT, EXECUTION (design phase)",,
Future Readiness,16.11,Proposed Extensions,Localization Extension,Multi-language and regional customization support (designed),,
Future Readiness,16.12,Proposed Extensions,Scheduling Extension,Time-based availability constraints for agent orchestration (designed),,
Future Readiness,16.13,Proposed Extensions,Interrupts Extension,Mid-flow task switching and conversation resumption control (designed),,
Future Readiness,16.14,Observability Layer 2,Grafana Dashboards,Planned: Grafana over ClickHouse traces for AI/agent analytics,,
Future Readiness,16.15,Observability Layer 1,Coroot Integration,Designed: eBPF-based infra monitoring with AI root cause analysis,,
Future Readiness,16.16,AG-UI Protocol,CopilotKit Events,Rich content format for AG-UI/CopilotKit frontend integration,,
Future Readiness,16.17,A2A Protocol,Agent-to-Agent,Cross-service agent communication protocol for federated deployments,,
Future Readiness,16.18,Contact Intelligence,Duplicate Detection,ML-based contact deduplication with merge suggestion workflow,,
Future Readiness,16.19,OTEL Bridge,OpenTelemetry Export,Optional trace export to OpenTelemetry-compatible backends,,
